product_id,product_name,category,subcategory,supplier,color,price_per_meter_inr,moq_meters,stock_meters,verified,available,image_file
1,Premium White Cotton Poplin,Cotton,Cotton Poplin,Sharma Textiles,White,277,200,1200,True,True,texverse-001.jpg
2,Classic Black Cotton Poplin,Cotton,Cotton Poplin,Global Denim Mills,Black,294,300,1800,True,True,texverse-002.jpg
3,Export Quality Navy Cotton Twill,Cotton,Cotton Twill,Royal Silk House,Navy,311,500,2500,True,True,texverse-003.jpg
4,High Density Royal Blue Cotton Twill,Cotton,Cotton Twill,Natural Linen Mills,Royal Blue,328,750,3200,True,True,texverse-004.jpg
5,Soft Touch Sky Blue Cotton Voile,Cotton,Cotton Voile,Modern Fiber Industries,Sky Blue,345,1000,5000,True,True,texverse-005.jpg
6,Performance Maroon Cotton Voile,Cotton,Cotton Voile,Tex Custom House,Maroon,362,200,1200,True,True,texverse-006.jpg
7,Professional Wine Cotton Cambric,Cotton,Cotton Cambric,Sunrise Fabrics,Wine,379,300,1800,True,True,texverse-007.jpg
8,Durable Bottle Green Cotton Cambric,Cotton,Cotton Cambric,Apex Textile Works,Bottle Green,396,500,2500,True,True,texverse-008.jpg
9,Signature Olive Cotton Canvas,Cotton,Cotton Canvas,Bharat Weaves,Olive,413,750,3200,True,True,texverse-009.jpg
10,Commercial Beige Cotton Canvas,Cotton,Cotton Canvas,Prime Looms,Beige,430,1000,5000,True,True,texverse-010.jpg
11,Premium Cream Cotton Muslin,Cotton,Cotton Muslin,East India Textiles,Cream,267,200,1200,True,True,texverse-011.jpg
12,Classic Grey Cotton Muslin,Cotton,Cotton Muslin,Arvind Fabric Hub,Grey,284,300,1800,True,True,texverse-012.jpg
13,Export Quality Charcoal Cotton Satin,Cotton,Cotton Satin,Metro Textile Supply,Charcoal,301,500,2500,True,True,texverse-013.jpg
14,High Density Mustard Cotton Satin,Cotton,Cotton Satin,Vardhman Fabrics,Mustard,318,750,3200,True,True,texverse-014.jpg
15,Soft Touch Rust Organic Cotton,Cotton,Organic Cotton,Sapphire Textile Mills,Rust,335,1000,5000,True,True,texverse-015.jpg
16,Performance Pink Organic Cotton,Cotton,Organic Cotton,Sharma Textiles,Pink,352,200,1200,True,True,texverse-016.jpg
17,Professional Ivory Combed Cotton,Cotton,Combed Cotton,Global Denim Mills,Ivory,369,300,1800,True,True,texverse-017.jpg
18,Durable Teal Combed Cotton,Cotton,Combed Cotton,Royal Silk House,Teal,386,500,2500,True,True,texverse-018.jpg
19,Signature Brown Cotton Jersey,Cotton,Cotton Jersey,Natural Linen Mills,Brown,403,750,3200,True,True,texverse-019.jpg
20,Commercial Natural Cotton Jersey,Cotton,Cotton Jersey,Modern Fiber Industries,Natural,420,1000,5000,True,True,texverse-020.jpg
21,Premium White Stretch Denim,Denim,Stretch Denim,Tex Custom House,White,657,200,1200,True,True,texverse-021.jpg
22,Classic Black Stretch Denim,Denim,Stretch Denim,Sunrise Fabrics,Black,494,300,1800,True,True,texverse-022.jpg
23,Export Quality Navy Rigid Denim,Denim,Rigid Denim,Apex Textile Works,Navy,511,500,2500,True,True,texverse-023.jpg
24,High Density Royal Blue Rigid Denim,Denim,Rigid Denim,Bharat Weaves,Royal Blue,528,750,3200,True,True,texverse-024.jpg
25,Soft Touch Sky Blue Raw Denim,Denim,Raw Denim,Prime Looms,Sky Blue,545,1000,5000,True,True,texverse-025.jpg
26,Performance Maroon Raw Denim,Denim,Raw Denim,East India Textiles,Maroon,562,200,1200,True,True,texverse-026.jpg
27,Professional Wine Washed Denim,Denim,Washed Denim,Arvind Fabric Hub,Wine,579,300,1800,True,True,texverse-027.jpg
28,Durable Bottle Green Washed Denim,Denim,Washed Denim,Metro Textile Supply,Bottle Green,596,500,2500,True,True,texverse-028.jpg
29,Signature Olive Selvedge Denim,Denim,Selvedge Denim,Vardhman Fabrics,Olive,613,750,3200,True,True,texverse-029.jpg
30,Commercial Beige Selvedge Denim,Denim,Selvedge Denim,Sapphire Textile Mills,Beige,630,1000,5000,True,True,texverse-030.jpg
31,Premium Cream Black Denim,Denim,Black Denim,Sharma Textiles,Cream,647,200,1200,True,True,texverse-031.jpg
32,Classic Grey Black Denim,Denim,Black Denim,Global Denim Mills,Grey,484,300,1800,True,True,texverse-032.jpg
33,Export Quality Charcoal Colored Denim,Denim,Colored Denim,Royal Silk House,Charcoal,501,500,2500,True,True,texverse-033.jpg
